scheduler,task_id,priority,duration,deps,is_critical,ready_sec,start_sec,end_sec,exec_sec,wait_sec
parallel,c04,1,1.8,c03,1,4.757190704345703,4.757404804229736,6.599080801010132,1.8416759967803955,0.00021409988403320312
parallel,s07,10,1.5,,0,0.0,5.21687388420105,6.77120566368103,1.5543317794799805,5.21687388420105
parallel,s08,9,2.0,,0,0.0,6.4267737865448,8.475976943969727,2.0492031574249268,6.4267737865448
parallel,c05,1,1.6,c04,1,6.599080801010132,6.59926700592041,8.264525890350342,1.6652588844299316,0.0001862049102783203
parallel,s09,10,1.8,,0,0.0,6.771390914916992,8.600514888763428,1.8291239738464355,6.771390914916992
parallel,c06,1,1.7,c05,1,8.264525890350342,8.264771938323975,9.980309963226318,1.7155380249023438,0.0002460479736328125
parallel,s10,9,2.3,,0,0.0,8.476125955581665,10.800241708755493,2.324115753173828,8.476125955581665
parallel,c07,1,1.5,c06,1,9.980309963226318,9.980439901351929,11.535592794418335,1.5551528930664062,0.00012993812561035156
parallel,c08,1,1.8,c07,1,11.535592794418335,11.535752773284912,13.388883829116821,1.8531310558319092,0.00015997886657714844
parallel,f01,5,1.2,c08 s09 s10,1,13.388883829116821,13.389153003692627,14.638942956924438,1.2497899532318115,0.00026917457580566406
parallel,f02,5,0.8,f01,1,14.638942956924438,14.63914680480957,15.47653603553772,0.8373892307281494,0.00020384788513183594
dag_priority,s01,10,1.8,,0,0.0,0.0,1.8311028480529785,1.8311028480529785,0.0
dag_priority,s02,10,2.0,,0,0.0,9.655952453613281e-05,2.051043748855591,2.0509471893310547,9.655952453613281e-05
dag_priority,s05,10,1.7,,0,0.0,0.00016164779663085938,1.7216949462890625,1.7215332984924316,0.00016164779663085938
dag_priority,s07,10,1.5,,0,0.0,1.7220127582550049,3.278338670730591,1.556325912475586,1.7220127582550049
dag_priority,s09,10,1.8,,0,0.0,1.831258773803711,3.661219835281372,1.8299610614776611,1.831258773803711
dag_priority,s03,9,1.6,,0,0.0,2.051194906234741,3.7148396968841553,1.663644790649414,2.051194906234741
dag_priority,s04,9,2.2,,0,0.0,3.2785427570343018,5.494205951690674,2.215663194656372,3.2785427570343018
dag_priority,s06,9,2.1,,0,0.0,3.661451578140259,5.820915937423706,2.1594643592834473,3.661451578140259
dag_priority,s08,9,2.0,,0,0.0,3.7149717807769775,5.76329779624939,2.048326015472412,3.7149717807769775
dag_priority,s10,9,2.3,,0,0.0,5.494386911392212,7.819945812225342,2.32555890083313,5.494386911392212
dag_priority,c01,1,1.5,,1,0.0,5.763470649719238,7.315331697463989,1.551861047744751,5.763470649719238
dag_priority,c02,1,1.7,c01,1,7.315331697463989,7.315471887588501,9.070974826812744,1.7555029392242432,0.00014019012451171875
dag_priority,c03,1,1.4,c02,1,9.070974826812744,9.071102857589722,10.496550798416138,1.425447940826416,0.00012803077697753906
dag_priority,c04,1,1.8,c03,1,10.496550798416138,10.496727705001831,12.334935665130615,1.8382079601287842,0.00017690658569335938
dag_priority,c05,1,1.6,c04,1,12.334935665130615,12.33517074584961,14.001457929611206,1.6662871837615967,0.00023508071899414062
dag_priority,c06,1,1.7,c05,1,14.001457929611206,14.001731634140015,15.717777729034424,1.7160460948944092,0.00027370452880859375
dag_priority,c07,1,1.5,c06,1,15.717777729034424,15.717976808547974,17.27250099182129,1.5545241832733154,0.0001990795135498047
dag_priority,c08,1,1.8,c07,1,17.27250099182129,17.272780656814575,19.125178813934326,1.852398157119751,0.0002796649932861328
dag_priority,f01,5,1.2,c08 s09 s10,1,19.125178813934326,19.125476837158203,20.376912832260132,1.2514359951019287,0.0002980232238769531
dag_priority,f02,5,0.8,f01,1,20.376912832260132,20.37721085548401,21.217450857162476,0.8402400016784668,0.0002980232238769531
dag_critical,c01,1,1.5,,1,0.0,0.0,1.5559911727905273,1.5559911727905273,0.0
dag_critical,s10,9,2.3,,0,0.0,0.00010800361633300781,2.323803186416626,2.323695182800293,0.00010800361633300781
dag_critical,s09,10,1.8,,0,0.0,0.0001800060272216797,1.8309721946716309,1.8307921886444092,0.0001800060272216797
